,Date,Open,High,Low,Close,Volume,Week,Quarter,Month Name,Day Name,Day,Month
733,2020-02-04,172.225,175.62,171.401,175.113,37475822.447524,6,1,February,Tuesday,4,2
732,2020-02-05,178.906,179.075,173.436,174.896,40307580.299169,6,1,February,Wednesday,5,2
731,2020-02-06,175.947,178.698,175.054,178.509,28545444.049856,6,1,February,Thursday,6,2
730,2020-02-07,177.755,180.465,177.397,178.767,34488457.831292,6,1,February,Friday,7,2
729,2020-02-10,178.459,183.592,178.152,183.453,36869894.75677,7,1,February,Monday,10,2
728,2020-02-11,185.349,185.399,178.379,179.313,54680994.297942,7,1,February,Tuesday,11,2
727,2020-02-12,180.416,180.683,176.792,179.582,48409554.460273,7,1,February,Wednesday,12,2
726,2020-02-13,177.982,181.051,177.775,178.589,36305770.500336,7,1,February,Thursday,13,2
725,2020-02-14,178.152,180.256,177.556,180.206,23811905.429801,7,1,February,Friday,14,2
724,2020-02-18,180.445,182.471,180.346,182.004,28650087.108521,8,1,February,Tuesday,18,2
723,2020-02-19,183.334,183.444,181.766,182.56,30771755.694125,8,1,February,Wednesday,19,2
722,2020-02-20,182.231,182.53,176.543,179.789,37813851.98181,8,1,February,Thursday,20,2
721,2020-02-21,178.549,178.876,172.801,174.091,49854838.623472,8,1,February,Friday,21,2
720,2020-02-24,163.548,170.17,159.141,166.596,70074284.772969,9,1,February,Monday,24,2
719,2020-02-25,169.823,170.448,163.428,163.846,69830376.173183,9,1,February,Tuesday,25,2
718,2020-02-26,165.435,168.889,163.985,165.882,57842590.422753,9,1,February,Wednesday,26,2
717,2020-02-27,159.229,162.833,154.008,154.206,95579899.64245,9,1,February,Thursday,27,2
716,2020-02-28,148.567,159.606,148.17,157.929,99579182.157202,9,1,February,Friday,28,2
715,2020-03-02,161.136,168.571,158.227,168.442,72864229.117422,10,1,March,Monday,2,3
714,2020-03-03,169.425,170.587,158.177,160.352,73527117.903265,10,1,March,Tuesday,3,3
713,2020-03-04,164.253,166.408,161.443,166.258,51100172.20895,10,1,March,Wednesday,4,3
712,2020-03-05,161.86,166.576,161.513,162.089,49051489.653654,10,1,March,Thursday,5,3
711,2020-03-06,158.525,159.022,152.061,157.502,74700685.283472,10,1,March,Friday,6,3
710,2020-03-09,147.217,153.78,146.235,146.839,72236908.656903,11,1,March,Monday,9,3
709,2020-03-10,154.186,156.967,148.736,156.857,67041287.015731,11,1,March,Tuesday,10,3
708,2020-03-11,153.164,153.73,147.356,149.758,57962769.88225,11,1,March,Wednesday,11,3
707,2020-03-12,141.647,149.6,135.095,135.562,95632686.538561,11,1,March,Thursday,12,3
706,2020-03-13,143.782,157.83,137.18,154.842,95120888.847896,11,1,March,Friday,13,3
705,2020-03-16,136.485,145.599,131.621,132.008,90174858.922011,12,1,March,Monday,16,3
704,2020-03-17,136.485,143.782,131.621,142.889,83152100.537799,12,1,March,Tuesday,17,3
703,2020-03-18,134.54,142.323,131.641,136.873,83699222.790237,12,1,March,Wednesday,18,3
702,2020-03-19,139.166,146.382,135.503,139.106,88140461.7166,12,1,March,Thursday,19,3
701,2020-03-20,142.323,143.395,132.435,133.895,87056747.394188,12,1,March,Friday,20,3
700,2020-03-23,133.557,137.021,129.189,132.554,81013653.566,13,1,March,Monday,23,3
699,2020-03-24,140.129,145.838,137.717,144.597,84646615.872594,13,1,March,Tuesday,24,3
